hour,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-02,2017-12-03
0,4106,4057,7826,3766,3810,3864,4099,4832,5758
1,1702,1844,1965,1630,1578,1670,1707,2297,2510
2,933,946,944,848,866,863,895,1178,1223
3,564,627,657,604,634,565,608,744,830
4,454,513,561,499,501,526,507,646,679
5,622,589,725,696,697,716,670,753,771
6,1451,1287,1946,1797,1674,1727,1709,1649,1541
7,3265,3188,3720,3284,3250,3310,3383,3845,3678
8,5364,5275,5893,5693,5931,5799,5576,6385,6559
9,7551,7646,8893,8620,8787,8725,8117,9385,9398
10,9836,9612,11178,10688,11139,12065,11105,12789,13651
11,9863,9901,10585,10240,10667,10857,10170,12580,12660
12,9182,9323,10737,10279,10750,10728,10309,12049,11902
13,9800,9681,11220,10578,11148,10957,10315,12363,12291
14,9807,9814,10578,10083,10822,10678,10200,12415,12724
15,9834,9843,10418,10361,10885,10890,10142,12427,12408
16,9374,9749,9733,9581,10113,10122,9412,12124,12250
17,8252,8636,8641,8104,8817,8714,8279,10966,11055
18,7864,8361,8171,7976,8449,8401,8135,10568,10192
19,9200,9765,9838,9701,10459,10316,9500,12220,11904
20,10731,11440,11399,11459,11819,11878,10948,14052,13559
21,11380,12115,12391,12124,12861,12479,11849,15041,14885
22,10877,11269,11618,11556,11956,11800,11096,14058,13332
23,7660,7731,7844,7709,8389,8292,8191,10765,9227
