hour,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-02,2017-12-03
0,55587,59231,56916,50164,50054,52814,54679,71638,83498
1,25474,28730,24538,22414,22668,23706,25344,34345,38682
2,13673,15312,13251,12516,12786,13168,14211,18423,20380
3,9407,10051,9422,9117,9325,9452,9962,12546,13525
4,8500,8508,8274,8607,8466,8637,9154,11122,11638
5,12143,11660,12288,12972,12956,12992,13530,14960,14982
6,28763,26362,31438,32954,32092,32655,33759,33907,32397
7,57243,56116,54997,56750,56028,56736,59059,69867,70092
8,76008,77397,74320,75064,76745,77741,78444,95268,100006
9,90201,92822,92815,94235,95831,97246,94956,115157,118732
10,104129,106433,108445,107807,110691,112794,109616,131659,138429
11,105900,109129,107972,107247,109943,110900,108860,135286,139205
12,104706,104883,115540,112760,116322,116224,114320,135242,135613
13,109040,108650,116750,114434,118254,117183,117313,139873,140420
14,108267,109457,110011,108805,112845,112197,112900,138217,141320
15,110083,110919,109874,108854,112488,128708,112359,140868,142948
16,111171,112302,107394,106127,110507,109866,110513,142540,143683
17,107103,107588,102965,100641,103967,104229,106009,139293,136653
18,105664,107855,103268,102236,104548,105577,107085,137791,134629
19,118950,122410,118305,117200,120925,120990,122017,154938,152084
20,134158,139171,134856,132223,135484,135630,137872,175651,171791
21,143758,149981,146276,143288,146081,146023,150456,190800,185972
22,136187,139791,138234,136915,138579,139495,145125,182870,174541
23,103120,100681,97339,95818,98426,99799,111220,144700,123135
