hour,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-02,2017-12-03
0,53052,56712,53403,47791,47785,50498,52039,68427,79555
1,24367,27565,23413,21343,21691,22696,24157,32795,36913
2,13055,14607,12671,11968,12253,12615,13567,17618,19468
3,9034,9581,9010,8700,8945,9063,9508,11956,12936
4,8165,8156,7939,8230,8105,8251,8744,10601,11121
5,11653,11158,11791,12406,12366,12358,12918,14314,14281
6,27479,25204,29767,31209,30403,30838,31988,32281,30837
7,54321,53382,51690,53454,52836,53442,55675,66178,66625
8,71793,73352,69738,70413,72079,73075,73683,89851,94431
9,84715,87268,86692,88007,89581,90862,88736,107762,111443
10,97511,99827,101068,100576,103254,104733,101905,122551,128769
11,98960,102137,100502,99826,102311,103227,101193,125939,129862
12,98223,98188,107978,105439,108770,108688,106770,126122,126803
13,102460,102157,109495,107162,110816,109887,109943,130988,131478
14,101846,103073,103129,101946,105739,105107,105678,129507,132484
15,103713,104483,102798,101900,105517,121730,105206,132107,134306
16,104714,105693,100567,99294,103288,102807,103423,133671,134911
17,100875,101128,96392,94184,97238,97544,99218,130612,128218
18,99627,101735,97040,96107,98297,99386,100763,129497,126605
19,112808,115979,111693,110704,114084,114125,115209,146359,143675
20,127367,131949,127802,124958,128211,128294,130456,166024,162534
21,136749,142435,138865,135768,138411,138498,142710,180807,176198
22,129571,132838,131263,129864,131574,132448,137913,173641,165452
23,98270,95656,92390,90901,93324,94636,105780,137430,116604
