item_category,pv,cart,fav,buy,uv,pv/uv,convert_buy_rate,buy_rate
2923285,7,0,0,775,7,1.0,110.71429,0.99
2464463,3,0,0,108,3,1.0,36.0,0.97
1781126,29,0,0,929,28,1.04,32.03448,0.97
60559,5,0,0,54,5,1.0,10.8,0.86
1712001,48,0,0,441,46,1.04,9.1875,0.93
1404020,792,0,3,1930,511,1.55,2.43687,0.73
748535,2,0,0,4,2,1.0,2.0,0.6
929495,17,0,0,33,13,1.31,1.94118,0.57
4859698,7,0,0,11,5,1.4,1.57143,0.75
2005676,42,0,0,64,26,1.62,1.52381,0.69
3132587,34,0,0,48,22,1.55,1.41176,0.77
3901193,746,0,29,1002,353,2.11,1.34316,0.78
2279145,16,0,0,20,13,1.23,1.25,0.67
5047668,226,0,5,262,152,1.49,1.15929,0.64
2454604,23,2,2,26,15,1.53,1.13043,0.6
2715353,18,0,0,20,12,1.5,1.11111,0.65
1704399,36,0,0,39,26,1.38,1.08333,0.63
1333844,13,0,0,13,9,1.44,1.0,0.69
2875969,11,1,0,11,8,1.38,1.0,0.62
77463,2,0,0,2,2,1.0,1.0,0.5
1110267,3,0,0,3,3,1.0,1.0,0.67
3094765,3,0,0,3,3,1.0,1.0,0.5
4097839,3,0,0,3,3,1.0,1.0,0.4
1030192,1195,0,41,1183,713,1.68,0.98996,0.64
4257951,5,0,0,4,4,1.25,0.8,0.6
4214565,25,0,0,20,25,1.0,0.8,0.48
2443475,726,0,11,566,563,1.29,0.77961,0.52
3822453,39,0,0,30,28,1.39,0.76923,0.33
925172,4,0,0,3,4,1.0,0.75,0.33
257793,965,0,15,683,677,1.43,0.70777,0.54
1486065,16,0,0,11,10,1.6,0.6875,0.38
628194,3,1,0,2,2,1.5,0.66667,0.67
2812314,3,1,0,2,3,1.0,0.66667,0.33
4386897,3,0,0,2,3,1.0,0.66667,0.4
2819811,213,14,3,140,168,1.27,0.65728,0.44
1421972,2102,0,44,1345,1491,1.41,0.63987,0.5
488441,16,0,0,10,11,1.45,0.625,0.35
910741,57,4,1,34,50,1.14,0.59649,0.45
3203956,120,0,7,69,94,1.28,0.575,0.43
351385,7,0,0,4,6,1.17,0.57143,0.38
194104,1803,0,53,1021,1100,1.64,0.56628,0.52
2460565,350,0,11,186,236,1.48,0.53143,0.48
555804,8,1,0,4,6,1.33,0.5,0.43
901528,4,0,0,2,3,1.33,0.5,0.5
2818,24,1,0,12,20,1.2,0.5,0.38
237653,6,0,0,3,6,1.0,0.5,0.38
1516260,128,0,3,62,109,1.17,0.48438,0.36
4644351,57,0,0,27,50,1.14,0.47368,0.37
260888,7,1,0,3,5,1.4,0.42857,0.5
4675092,7,0,0,3,6,1.17,0.42857,0.43
362968,7,0,2,3,7,1.0,0.42857,0.33
3576462,7,0,0,3,7,1.0,0.42857,0.3
5132968,27,0,0,11,19,1.42,0.40741,0.41
4337040,140,0,5,57,120,1.17,0.40714,0.33
3858594,20,0,1,8,14,1.43,0.4,0.44
26313,5,0,0,2,4,1.25,0.4,0.2
184240,5,1,0,2,4,1.25,0.4,0.25
886180,5,1,0,2,5,1.0,0.4,0.33
1540813,5,3,2,2,5,1.0,0.4,0.12
4336961,5,2,0,2,5,1.0,0.4,0.25
3443662,56,0,0,22,40,1.4,0.39286,0.37
2518982,13,0,0,5,8,1.62,0.38462,0.36
1153967,16,3,1,6,9,1.78,0.375,0.46
804084,4889,0,189,1787,2195,2.23,0.36551,0.49
1538288,6,2,0,2,4,1.5,0.33333,0.33
2846601,6,0,0,2,4,1.5,0.33333,0.25
2923774,9,1,0,3,6,1.5,0.33333,0.33
3030604,6,0,0,2,4,1.5,0.33333,0.5
4220062,6,0,2,2,5,1.2,0.33333,0.33
2300463,107,0,3,35,38,2.82,0.3271,0.4
3775826,28,5,1,9,22,1.27,0.32143,0.3
180839,78,3,3,24,12,6.5,0.30769,0.15
4882625,10,2,0,3,6,1.67,0.3,0.38
1819196,10,1,1,3,9,1.11,0.3,0.3
3865394,92,4,1,27,48,1.92,0.29348,0.2
4372990,89,24,3,26,59,1.51,0.29213,0.32
1082689,24,0,0,7,16,1.5,0.29167,0.19
4630498,7,0,0,2,6,1.17,0.28571,0.29
4143437,14,1,0,4,13,1.08,0.28571,0.25
343763,7,2,0,2,7,1.0,0.28571,0.2
1958275,1213,347,23,346,770,1.58,0.28524,0.3
300775,43,8,0,12,20,2.15,0.27907,0.23
3229336,303,2,15,84,94,3.22,0.27723,0.47
3628283,11,1,1,3,10,1.1,0.27273,0.25
375630,26,3,2,7,17,1.53,0.26923,0.33
3183680,19,2,1,5,17,1.12,0.26316,0.14
2336370,308,22,7,81,145,2.12,0.26299,0.14
4388197,62,3,2,16,29,2.14,0.25806,0.16
1024932,8,0,1,2,5,1.6,0.25,0.33
3881067,16,0,0,4,11,1.45,0.25,0.27
299355,8,0,0,2,6,1.33,0.25,0.33
1929929,24,0,0,6,20,1.2,0.25,0.24
428699,16,3,1,4,15,1.07,0.25,0.22
228823,8,1,0,2,8,1.0,0.25,0.12
1209439,303,0,7,74,184,1.65,0.24422,0.28
1458019,118,5,2,28,99,1.19,0.23729,0.21
3434878,87,0,1,20,67,1.3,0.22989,0.19
4933498,35,0,0,8,31,1.13,0.22857,0.21
2509955,124,0,1,28,71,1.75,0.22581,0.24
817164,1595,0,77,357,583,2.74,0.22382,0.39
4457166,9,2,0,2,4,2.25,0.22222,0.25
758541,9,0,0,2,6,1.5,0.22222,0.33
4586026,9,0,0,2,6,1.5,0.22222,0.17
310192,9,0,0,2,7,1.29,0.22222,0.14
1625513,9,1,0,2,7,1.29,0.22222,0.22
3628508,1068,177,56,234,623,1.71,0.2191,0.27
1515792,174,9,1,38,148,1.18,0.21839,0.19
2354680,55,0,1,12,47,1.17,0.21818,0.21
4633856,448,92,11,97,285,1.57,0.21652,0.26
4685965,28,0,0,6,15,1.87,0.21429,0.35
2135345,28,0,1,6,23,1.22,0.21429,0.22
4630561,14,3,1,3,14,1.0,0.21429,0.12
826700,71,0,1,15,63,1.13,0.21127,0.2
3876590,19,0,1,4,9,2.11,0.21053,0.27
4525351,58,6,2,12,38,1.53,0.2069,0.23
4417552,34,4,0,7,17,2.0,0.20588,0.28
4120972,34,2,0,7,21,1.62,0.20588,0.23
2872050,39,5,0,8,27,1.44,0.20513,0.22
63690,3992,0,100,817,1681,2.37,0.20466,0.35
102917,88,7,3,18,43,2.05,0.20455,0.25
204327,44,0,2,9,27,1.63,0.20455,0.17
422656,317,0,21,64,105,3.02,0.20189,0.31
658306,10,0,0,2,3,3.33,0.2,0.4
4280664,40,5,0,8,18,2.22,0.2,0.28
1079216,35,6,0,7,25,1.4,0.2,0.23
3802530,15,8,1,3,11,1.36,0.2,0.15
3881189,15,0,1,3,11,1.36,0.2,0.17
251062,55,3,0,11,43,1.28,0.2,0.24
1214341,10,0,0,2,8,1.25,0.2,0.2
3082178,10,1,0,2,8,1.25,0.2,0.22
4816919,15,0,1,3,12,1.25,0.2,0.2
4147681,20,0,1,4,17,1.18,0.2,0.19
556840,10,1,0,2,9,1.11,0.2,0.2
4278682,10,0,0,2,9,1.11,0.2,0.2
4044349,15,1,0,3,14,1.07,0.2,0.2
1461887,1653,326,67,327,1116,1.48,0.19782,0.21
